Китайский	Английский	Русский
补充探测	Exploration 	Доразведка  
踢板	Kick board 	Нижняя  часть  ограждения  (металлическая  обшивка)  
注浆 	 cementation  	  Цементация  
注浆/灌浆 	 Grouting  	  Цементация/тампонаж  压力小（区别于cementation）
皮带轮	Sheave	Шкив,  Ролик  
阀门站	Valve station 	Узел  переключения  
不安全条件	Unsafe conditions	Небезопасные условия
不安全行为/安全违规	Unsafe actions/safety violations	Небезопасные действия
个人防护用品 	 PPE personal protective equipment 	  СИЗ/средства  индивидуальной  защиты  
制动/安全绳 	 Safety ropes 	  Тормозной  канат  
安全保险绳	Safety sling 	Предохранительный  трос  
安全吊带 	 Safety sling 	  Подвеска  безопасности  
安全工 	 Safety worker 	  Работник  по  Тб
安全快报 	 Safety flash 	  Оперативка,  газета  (на  предприятии)  по  безопасности
安全装置	Safety device 	Предохранительное  устройство  
安全警示 	 Safety Alerts 	  Предупреждения  по  безопасности
安全载荷 	 Safe working load 	  Рабочая  нагрузка  
安全违规 	 Safety violation 	  Нарушение  безопасности  
安全链	Safety chain 	Предохранительная  цепь  
安全锁 	 Safety latch  	  Предохранительная  защёлка
安全门	Bank door 	Откидные  ляды,  стволовые  ляды,  стволовая  дверь
安全门 	 Emergency exit 	  Аварийный  выход  
安全门 	 Safety door 	  Шахтная  дверь  предохранительная
安全零事故目标 	 GOAL ZERO 	  Цель  Ноль  (Безопасность  и  нулевой  травматизм)
急停 	 Emergency stop 	  Экстренная  остановка
急救包	First-aid kit 	  Аптечка
急救室 	 First aid room 	  Кабинет  первой  медицинской  помощи  
急救爬梯	Rescue ladders 	  Аварийная/спасательная  лестница  
急救箱 	 First aid kid 	  Аптечка  первой  помощи
政府工业安全 	 Government regulation of industrial safety 	  Комитет  индустриальной  безопасности  
消防干管 	 Fire main  	  Противопожарная  сеть  
消防水池2X250立方米	Fire fighting pool 2X250 cubic meters	Пожарный резевуары емкостью 2х250м3
消防水箱 	 Fire water tank  	  Пожарный  резервуар  
消防泵 	 Fire pump 	  Противопожарный  насос  
消防演练 	 Fire drill 	  Противопожарный  учения  
消防队	Firefighting Team 	Пожарная  команда  
火警 	 Fire alarm  	  Пожарная  сигнализация  
灭火器 	 Fire extinguisher 	  Огнетушитель
Pop计划	Pop schedule 	Pop график
SLAM手册 	 SLAM 	  СЛАМ
压实度测试仪 	 Compaction test 	  Испытание  плотности  грунта  
压水测试 	 Water pump test 	  Испытание  с  водой  под  давлением  
报告 	 Report 	  Отчет  
无损探伤检测	Non-destructive testing (NDT) 	Неразрушающие  испытания  и  измерения/дефектоскопия  
